,pressure (psi),temperature (deg F),failure
112,14.34,214.62,no
113,16.19,197.93,no
114,13.66,197.09,no
115,15.36,190.11,no
116,12.98,195.17,no
117,15.44,196.99,no
118,15.23,196.23,no
119,15.05,206.59,no
120,14.16,202.5,no
121,12.76,209.36,no
122,16.21,191.9,no
123,14.4,187.95,no
124,13.95,199.96,no
125,14.71,193.04,no
126,15.38,188.21,no
127,14.15,196.47,no
128,14.12,211.22,no
129,16.37,202.12,no
130,14.63,201.84,no
131,13.91,180.76,no
132,14.42,205.55,no
133,15.12,204.18,no
134,15.41,188.88,no
135,13.16,198.83,no
136,14.46,189.5,no
137,16.46,186.61,no
138,12.4,190.15,no
139,12.59,209.0,no
140,15.22,212.01,no
141,14.11,198.94,no
142,15.61,200.33,no
143,14.89,208.91,no
144,13.76,196.31,no
145,13.6,197.57,no
146,14.94,189.18,no
147,14.76,190.2,no
148,15.69,204.35,no
149,13.87,217.08,no
150,13.13,203.79,no
151,15.09,206.84,no
152,14.39,210.18,no
153,13.67,205.18,no
154,15.98,200.25,no
155,14.94,204.14,no
156,12.52,194.13,no
157,14.17,200.0,no
158,13.71,207.95,no
159,14.27,201.96,no
160,15.15,198.06,no
161,15.2,205.92,no
162,15.44,196.73,no
163,15.08,194.2,no
164,13.19,200.12,no
165,16.07,217.53,no
166,13.24,185.92,no
167,12.37,200.88,no
168,15.11,211.85,no
169,14.41,205.29,no
170,15.33,203.22,no
171,14.01,193.48,no
172,14.7,193.94,no
173,15.66,201.19,no
174,16.03,203.44,no
175,13.57,191.74,no
176,14.93,186.88,no
177,14.04,201.47,no
178,15.51,188.7,no
179,15.96,194.12,no
180,13.52,199.16,no
181,15.66,203.52,no
182,13.85,194.84,no
183,15.11,201.99,no
184,14.76,206.95,no
185,15.57,200.11,no
186,16.76,194.31,no
187,15.34,217.73,no
188,14.09,210.39,no
189,14.41,199.88,no
190,16.32,190.83,no
191,13.53,206.01,no
192,13.46,197.85,no
193,14.98,202.24,no
194,15.54,209.21,no
195,14.38,199.69,no
196,16.66,199.89,no
197,14.61,208.17,no
198,14.36,198.59,no
199,15.97,197.14,no
200,14.63,184.36,no
201,15.23,213.65,no
202,14.39,194.88,no
203,16.42,200.47,no
204,15.01,214.93,no
205,13.57,202.03,no
206,13.36,212.08,no
207,16.65,215.48,no
208,16.35,203.02,no
209,13.81,202.7,no
210,14.7,204.67,no
211,15.36,208.94,no
212,13.71,203.96,no
213,15.6,201.93,no
214,15.25,217.28,no
215,13.82,192.17,no
216,15.47,188.56,no
217,14.14,203.94,no
218,14.18,214.01,no
219,15.84,217.59,no
220,14.48,206.39,no
221,15.57,190.64,no
222,14.12,197.97,no
223,14.59,192.62,no
224,16.04,197.65,no
225,15.54,200.3,no
226,15.89,201.99,no
227,14.81,188.54,no
228,13.61,196.23,no
229,14.42,208.81,no
230,15.49,195.68,no
231,15.39,185.99,no
232,14.45,209.5,no
233,16.19,209.61,no
234,12.95,195.81,no
235,13.95,197.58,no
236,14.47,193.0,no
237,14.31,178.56,no
238,13.85,195.97,no
239,15.74,207.25,no
240,14.98,192.58,no
241,15.94,197.38,no
242,15.7,203.07,no
243,13.44,195.93,no
244,14.31,194.03,no
245,14.99,177.79,no
246,15.39,198.97,no
247,15.9,198.68,no
248,15.1,209.37,no
249,14.7,196.77,no
250,17.45,213.77,yes
251,17.91,219.8,yes
252,17.55,217.67,yes
253,16.32,219.17,yes
254,16.34,224.61,yes
255,15.86,225.17,yes
256,16.43,210.74,yes
257,17.15,218.59,yes
258,18.0,218.93,yes
259,15.6,229.85,yes
260,16.86,217.41,yes
261,18.3,223.15,yes
262,19.17,222.42,yes
263,16.46,215.74,yes
264,19.26,213.63,yes
265,17.12,219.46,yes
266,16.94,217.47,yes
267,19.72,217.64,yes
268,16.18,219.39,yes
269,18.23,207.47,yes
270,17.92,211.94,yes
271,18.13,240.91,yes
272,16.75,211.5,yes
273,16.53,216.72,yes
274,15.95,211.39,yes
275,18.52,239.94,yes
276,16.08,205.54,yes
277,17.25,228.38,yes
278,14.6,213.53,yes
279,18.48,228.78,yes
280,14.97,203.51,yes
281,18.97,221.38,yes
282,16.88,222.26,yes
283,17.46,224.99,yes
284,15.67,226.64,yes
285,14.99,221.39,yes
286,14.85,217.15,yes
287,18.4,215.08,yes
288,19.89,212.13,yes
289,17.92,221.94,yes
290,18.94,210.19,yes
291,17.04,215.28,yes
292,19.06,226.35,yes
293,17.59,215.48,yes
294,18.23,225.17,yes
295,21.05,210.68,yes
296,15.35,199.23,yes
297,18.16,215.48,yes
298,16.63,232.32,yes
299,19.74,223.46,yes
300,16.18,216.98,yes
301,14.37,235.1,yes
302,18.38,215.6,yes
303,16.67,226.94,yes
304,15.6,223.42,yes
305,17.06,222.29,yes
306,17.89,225.9,yes
307,14.8,220.83,yes
308,18.07,197.49,yes
309,15.78,209.93,yes
310,15.62,210.8,yes
311,16.32,204.79,yes
312,18.56,228.38,yes
313,17.45,225.34,yes
314,16.76,215.35,yes
315,16.7,209.2,yes
316,17.83,229.95,yes
317,16.94,215.6,yes
318,16.54,227.38,yes
319,17.5,216.45,yes
320,16.27,217.22,yes
321,15.25,212.32,yes
322,18.07,214.87,yes
323,16.06,210.24,yes
324,18.62,223.0,yes
325,16.74,227.05,yes
326,15.39,212.25,yes
327,16.65,224.94,yes
328,15.66,221.83,yes
329,18.25,225.4,yes
330,16.44,223.28,yes
331,16.12,221.54,yes
332,14.83,216.55,yes
333,14.75,219.38,yes
334,14.47,221.36,yes
335,16.17,204.64,yes
336,18.16,217.75,yes
337,16.92,214.51,yes
338,18.09,213.32,yes
339,15.81,225.0,yes
340,16.15,233.65,yes
341,16.29,217.01,yes
342,16.33,224.51,yes
343,18.3,211.02,yes
344,17.57,216.81,yes
345,18.37,237.65,yes
346,13.94,220.93,yes
347,16.75,213.85,yes
348,17.05,215.9,yes
349,18.19,209.07,yes
350,15.1,211.36,yes
351,19.84,225.84,yes
352,16.65,215.1,yes
353,15.69,223.2,yes
354,13.11,230.64,yes
355,16.52,220.18,yes
356,18.6,211.19,yes
357,14.5,210.26,yes
358,13.01,221.51,yes
359,18.24,213.57,yes
360,16.04,231.06,yes
361,17.93,235.23,yes
362,16.49,232.66,yes
363,19.11,218.2,yes
364,15.54,217.48,yes
365,17.94,211.44,yes
366,14.57,215.81,yes
367,18.05,217.39,yes
368,17.75,216.74,yes
369,17.49,225.71,yes
370,16.23,222.16,yes
371,14.26,228.11,yes
372,19.14,212.98,yes
373,16.57,209.56,yes
374,15.93,219.96,yes
375,17.02,213.97,yes
376,17.96,209.79,yes
377,16.22,216.94,yes
378,16.18,229.72,yes
379,19.36,221.84,yes
380,16.91,221.59,yes
381,15.88,203.34,yes
382,16.6,224.81,yes
383,17.6,223.62,yes
384,18.0,210.37,yes
385,14.82,218.99,yes
386,16.66,210.9,yes
387,19.48,208.4,yes
388,13.75,211.47,yes
389,14.02,227.79,yes
390,17.74,230.4,yes
391,16.16,219.09,yes
392,18.28,220.28,yes
393,17.27,227.72,yes
394,15.68,216.8,yes
395,15.45,217.89,yes
396,17.34,210.63,yes
397,17.09,211.51,yes
398,18.4,223.77,yes
399,15.83,234.79,yes
400,14.78,223.28,yes
401,17.55,225.93,yes
402,16.56,228.81,yes
403,15.54,224.49,yes
404,18.81,220.22,yes
405,17.33,223.58,yes
406,13.91,214.92,yes
407,16.26,220.0,yes
408,15.6,226.88,yes
409,16.39,221.7,yes
410,17.63,218.32,yes
411,17.71,225.13,yes
412,18.04,217.17,yes
413,17.53,214.98,yes
414,14.86,220.1,yes
415,18.94,235.18,yes
416,14.94,207.81,yes
417,13.71,220.76,yes
418,17.58,230.26,yes
419,16.59,224.58,yes
420,17.89,222.79,yes
421,16.02,214.35,yes
422,17.0,214.76,yes
423,18.36,221.03,yes
424,18.88,222.98,yes
425,15.4,212.85,yes
426,17.32,208.63,yes
427,16.07,221.27,yes
428,18.15,210.21,yes
429,18.78,214.91,yes
430,15.33,219.27,yes
431,18.36,223.05,yes
432,15.8,215.53,yes
433,17.58,221.73,yes
434,17.08,226.02,yes
435,18.22,220.1,yes
436,19.91,215.07,yes
437,17.9,235.35,yes
438,16.13,228.99,yes
439,16.59,219.9,yes
440,19.28,212.06,yes
441,15.34,225.2,yes
442,15.25,218.14,yes
443,17.4,221.94,yes
444,18.18,227.98,yes
445,16.54,219.73,yes
446,19.78,219.9,yes
447,16.87,227.07,yes
448,16.52,218.78,yes
449,18.79,217.52,yes
450,16.9,206.45,yes
451,17.75,231.82,yes
452,16.56,215.56,yes
453,19.43,220.41,yes
454,17.44,232.93,yes
455,15.4,221.76,yes
456,15.11,230.46,yes
457,19.75,233.4,yes
458,19.34,222.61,yes
459,15.74,222.34,yes
460,17.0,224.04,yes
461,17.93,227.74,yes
462,15.6,223.43,yes
463,18.28,221.67,yes
464,17.78,234.97,yes
465,15.76,213.22,yes
466,18.08,210.1,yes
467,16.2,223.41,yes
468,16.27,232.14,yes
469,18.62,235.23,yes
470,16.69,225.53,yes
471,18.24,211.89,yes
472,16.18,218.24,yes
473,16.85,213.61,yes
474,18.9,217.96,yes
475,18.19,220.26,yes
476,18.68,221.72,yes
477,17.15,210.08,yes
478,15.45,216.74,yes
479,16.6,227.63,yes
480,18.12,216.26,yes
481,17.98,207.86,yes
482,16.64,228.23,yes
483,19.1,228.32,yes
484,14.53,216.38,yes
485,15.94,217.9,yes
486,16.68,213.94,yes
487,16.45,201.44,yes
488,15.79,216.51,yes
489,18.47,226.28,yes
490,17.4,213.58,yes
491,18.76,217.73,yes
492,18.42,222.66,yes
493,15.22,216.48,yes
494,16.45,214.83,yes
495,17.41,200.77,yes
496,17.97,219.1,yes
497,18.7,218.86,yes
498,17.56,228.11,yes
499,16.99,217.2,yes
